Inicio muestreo, Fin muestreo, Peso inicial, Peso final, Masa, Volumen normalizado, Volumen ambiente, PM
2020-09-29 08:00:00, 2020-09-30 08:00:00, 1.13401, 1.14765, 13.6425, 650, 719, 18.9785
2020-07-27 08:00:00, 2020-07-28 08:00:00, 1.0786, 1.094, 15.4025, 636.5, 719.2, 21.4206
2020-06-13 08:00:00, 2020-06-14 08:00:00, 1.11549, 1.12866, 13.1675, 657.1, 719.1, 18.3176
2020-06-17 08:00:00, 2020-06-18 08:00:00, 1.10302, 1.11107, 8.0475, 649.7, 717.6, 11.2187
2020-06-21 08:00:00, 2020-06-22 08:00:00, 1.10964, 1.11662, 6.98583, 654.5, 719, 9.71715
2020-06-25 08:00:00, 2020-06-26 08:00:00, 1.11738, 1.12211, 4.72917, 653.4, 719.1, 6.57841
2020-06-29 08:00:00, 2020-06-30 08:00:00, 1.11674, 1.12551, 8.76917, 651.9, 719, 12.1999
2020-07-07 08:00:00, 2020-07-08 08:00:00, 1.11709, 1.1383, 21.2092, 1295.8, 1438.2, 14.7517
2020-07-11 08:00:00, 2020-07-12 08:00:00, 1.0726, 1.0912, 18.6025, 642.7, 719, 25.8798
2020-07-15 08:00:00, 2020-07-16 08:00:00, 1.07151, 1.0872, 15.6883, 587.5, 658.6, 23.8231
2020-07-19 08:00:00, 2020-07-20 08:00:00, 1.06626, 1.08759, 21.3242, 629.1, 719.1, 29.6586
2020-07-23 08:00:00, 2020-07-24 08:00:00, 1.06311, 1.08687, 23.76, 635.7, 719.1, 33.0561
2020-07-31 08:00:00, 2020-08-01 08:00:00, 1.08005, 1.09361, 13.5567, 643, 719.1, 18.862
2020-08-04 08:00:00, 2020-08-05 08:00:00, 1.06747, 1.07671, 9.245, 647.1, 719, 12.8597
2020-08-08 08:00:00, 2020-08-09 08:00:00, 1.06326, 1.06957, 6.30167, 649, 719.2, 8.76674
2020-08-12 08:00:00, 2020-08-13 08:00:00, 1.08225, 1.09233, 10.08, 651.7, 719.1, 14.0223
2020-08-16 08:00:00, 2020-08-17 08:00:00, 1.18653, 1.19877, 12.2342, 653.1, 719, 17.0194
2020-08-20 08:00:00, 2020-08-21 08:00:00, 1.18006, 1.19517, 15.1042, 643, 717.3, 21.0667
2020-08-24 08:00:00, 2020-08-25 08:00:00, 1.18424, 1.19481, 10.5642, 633, 717.2, 14.7358
2020-08-28 08:00:00, 2020-08-29 08:00:00, 1.16992, 1.1877, 17.7783, 633.8, 718.9, 24.7304
2020-09-01 08:00:00, 2020-09-02 08:00:00, 1.1798, 1.20452, 24.7258, 638.3, 718.4, 34.4218
2020-09-05 08:00:00, 2020-09-06 08:00:00, 1.17823, 1.19301, 14.7767, 647.5, 718.9, 20.5559
2020-09-09 08:00:00, 2020-09-10 08:00:00, 1.18898, 1.21825, 29.2733, 648.1, 718.4, 40.7589
2020-09-13 08:00:00, 2020-09-14 08:00:00, 1.18499, 1.19868, 13.6958, 654.3, 719, 19.0571
2020-09-17 08:00:00, 2020-09-18 08:00:00, 1.19005, 1.20168, 11.6242, 650.4, 717.3, 16.2078
2020-09-21 08:00:00, 2020-09-22 08:00:00, 1.06626, 1.08544, 19.1808, 650.1, 718.9, 26.6833
2020-09-25 08:00:00, 2020-09-26 08:00:00, 1.13449, 1.16524, 30.7508, 645.8, 717.1, 42.8944
2020-10-03 08:00:00, 2020-10-04 08:00:00, 1.13106, 1.1385, 7.445, 648.4, 717.3, 10.3837
2020-10-07 08:00:00, 2020-10-08 08:00:00, 1.1385, 1.15627, 17.7692, 653.3, 719.1, 24.7233
2020-10-11 08:00:00, 2020-10-12 08:00:00, 1.12731, 1.14987, 22.5608, 651.6, 718.6, 31.4037
2020-10-15 08:00:00, 2020-10-16 08:00:00, 1.13184, 1.14658, 14.74, 653.5, 718.4, 20.5301
2020-10-19 08:00:00, 2020-10-20 08:00:00, 1.12692, 1.14472, 17.7975, 649.9, 719, 24.763
2020-10-23 08:00:00, 2020-10-24 08:00:00, 1.14614, 1.15381, 7.66667, 662.7, 718.9, 10.6673
2020-10-27 08:00:00, 2020-10-28 08:00:00, 1.14186, 1.14804, 6.18167, 657.1, 719, 8.60109
2020-10-31 08:00:00, 2020-11-01 08:00:00, 1.14008, 1.16786, 27.7792, 648.3, 718.9, 38.6583
2020-11-12 08:00:00, 2020-11-13 08:00:00, 1.13502, 1.14662, 11.6058, 643.7, 717.4, 16.1808
2020-11-16 08:00:00, 2020-11-17 08:00:00, 1.12944, 1.14217, 12.7325, 641.7, 719, 17.7138
2020-11-20 08:00:00, 2020-11-21 08:00:00, 1.13344, 1.18226, 48.8258, 640.8, 719, 67.9358
2020-11-24 08:00:00, 2020-11-25 08:00:00, 1.13691, 1.16677, 29.8567, 639.2, 719, 41.5379
2020-12-14 08:00:00, 2020-12-15 08:00:00, 1.13619, 1.13829, 2.10083, 643.1, 717.6, 2.92787
2020-12-02 08:00:00, 2020-12-03 08:00:00, 1.13749, 1.14488, 7.39083, 634.3, 718.9, 10.2824
2020-12-06 08:00:00, 2020-12-07 08:00:00, 1.13922, 1.14247, 3.25, 648.1, 719, 4.52153
2020-12-10 08:00:00, 2020-12-11 08:00:00, 1.13782, 1.14375, 5.93167, 646.6, 719.1, 8.25329
2020-12-18 08:00:00, 2020-12-19 08:00:00, 1.13276, 1.13816, 5.40333, 616.5, 678.9, 7.96173
2020-12-22 08:00:00, 2020-12-23 08:00:00, 1.13054, 1.14176, 11.2258, 661.6, 717.7, 15.646
2020-12-26 08:00:00, 2020-12-27 08:00:00, 1.13459, 1.20276, 68.175, 654.7, 719.1, 94.8412
2020-12-30 08:00:00, 2020-12-31 08:00:00, 1.14319, 1.14776, 4.57333, 663, 719.1, 6.36193
2020-11-08 08:00:00, 2020-11-09 08:00:00, 1.13505, 1.13849, 3.43417, 649, 717.1, 4.79109
